VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",0.166000,0.166000,0.0199000,0.0199000
"2016-01-02",0.320500,0.320500,0.0164000,0.0164000
"2016-01-03",0.261700,0.261700,0.0322000,0.0322000
"2016-01-04",0.588300,0.588300,0.108400,0.108400
"2016-01-05",0.340100,0.340100,0.0422000,0.0422000
"2016-01-06",0.179800,0.179800,0.0161000,0.0161000
"2016-01-07",0.204600,0.204600,0.0271000,0.0271000
"2016-01-08",0.599600,0.599600,0.0958000,0.0958000
"2016-01-09",0.552000,0.552000,0.0837000,0.0837000
"2016-01-10",0.569700,0.569700,0.0858000,0.0858000
"2016-01-11",0.628700,0.628700,0.0872000,0.0872000
"2016-01-12",0.615100,0.615100,0.0855000,0.0855000
"2016-01-13",0.345000,0.345000,0.0454000,0.0454000
"2016-01-14",0.328600,0.328600,0.0423000,0.0423000
"2016-01-15",0.252900,0.252900,0.0302000,0.0302000
"2016-01-16",0.162100,0.162100,0.00000,0.00000
"2016-01-17",0.145800,0.145800,0.00530000,0.00530000
"2016-01-18",0.200700,0.200700,0.0121000,0.0121000
"2016-01-19",0.163600,0.163600,0.00660000,0.00660000
"2016-01-20",0.291100,0.291100,0.0226000,0.0226000
"2016-01-21",0.409400,0.409400,0.0399000,0.0399000
"2016-01-22",0.756900,0.756900,0.163400,0.163400
"2016-01-23",0.627600,0.627600,0.115800,0.115800
"2016-01-24",0.550900,0.550900,0.103700,0.103700
"2016-01-25",0.517400,0.517400,0.0886000,0.0886000
"2016-01-26",0.596200,0.596200,0.106900,0.106900
"2016-01-27",0.495100,0.495100,0.0703000,0.0703000
"2016-01-28",0.855900,0.855900,0.218000,0.263764
"2016-01-29",0.577600,0.577600,0.0948000,0.102322
"2016-01-30",0.528800,0.528800,0.0675000,0.0675000
"2016-01-31",0.321200,0.321200,0.0271000,0.0271000
"2016-02-01",0.291900,0.291900,0.0381000,0.0381000
"2016-02-02",0.522600,0.522600,0.0370000,0.0370000
"2016-02-03",0.517700,0.517700,0.0704000,0.0704000
"2016-02-04",0.664200,0.664200,0.0918000,0.0918000
"2016-02-05",0.914500,0.914500,0.250200,0.250200
"2016-02-06",0.694000,0.694000,0.133900,0.133900
"2016-02-07",0.926800,0.926800,0.188400,0.188400
"2016-02-08",0.898400,0.898400,0.240300,0.276717
"2016-02-09",0.834100,0.834100,0.199100,0.199100
"2016-02-10",0.760000,0.760000,0.172400,0.172400
"2016-02-11",0.638800,0.659343,0.131800,0.221891
"2016-02-12",0.622000,0.643549,0.127100,0.217602
"2016-02-13",0.540600,0.575120,0.113200,0.204915
"2016-02-14",0.559100,0.592169,0.118000,0.209296
"2016-02-15",0.548200,0.574118,0.106400,0.198709
"2016-02-16",0.525200,0.556634,0.104500,0.196975
"2016-02-17",0.544400,0.574254,0.109400,0.201447
"2016-02-18",0.566400,0.591054,0.111300,0.203181
"2016-02-19",0.669600,0.669600,0.00870000,0.0912403
"2016-02-20",0.231200,0.231200,0.0269000,0.0269000
"2016-02-21",0.753900,0.753900,0.139400,0.139400
"2016-02-22",0.802800,0.802800,0.105700,0.105700
"2016-02-23",0.789600,0.789600,0.0958000,0.0958000
"2016-02-24",0.780800,0.780800,0.0908000,0.0908000
"2016-02-25",0.789600,0.789600,0.0958000,0.0958000
"2016-02-26",0.804800,1.00000,0.455900,0.496091
"2016-02-27",0.170000,0.170000,0.0141000,0.0141000
"2016-02-28",0.521400,0.521400,0.0919000,0.0919000
"2016-02-29",0.507000,0.507000,0.0938000,0.0938000
"2016-03-01",0.498900,0.498900,0.0917000,0.0917000
"2016-03-02",0.232900,0.232900,0.0284000,0.0284000
"2016-03-03",0.309600,0.309600,0.0354000,0.0354000
"2016-03-04",0.213200,0.213200,0.0161000,0.0161000
"2016-03-05",0.364600,0.364600,0.0372000,0.0372000
"2016-03-06",0.424100,0.424100,0.0637000,0.0637000
"2016-03-07",0.426600,0.426600,0.0636000,0.0636000
"2016-03-08",0.243200,0.243200,0.0333000,0.0333000
"2016-03-09",0.216600,0.216600,0.0206000,0.0206000
"2016-03-10",0.357300,0.357300,0.0460000,0.0460000
"2016-03-11",0.283200,0.283200,0.0269000,0.0269000
"2016-03-12",0.243500,0.243500,0.0280000,0.0280000
"2016-03-13",0.319500,0.319500,0.0439000,0.0439000
"2016-03-14",0.381800,0.381800,0.0475000,0.0475000
"2016-03-15",0.406300,0.406300,0.0527000,0.0527000
"2016-03-16",0.574500,0.574500,0.103700,0.103700
"2016-03-17",0.395100,0.395100,0.0515000,0.0515000
"2016-03-18",0.654500,0.654500,0.158400,0.158400
"2016-03-19",0.451400,0.451400,0.0745000,0.0745000
"2016-03-20",0.252900,0.252900,0.00000,0.00000
"2016-03-21",0.303400,0.303400,0.0132000,0.0132000
"2016-03-22",0.303400,0.303400,0.0132000,0.0132000
"2016-03-23",0.303400,0.303400,0.0132000,0.0132000
"2016-03-24",0.273900,0.273900,0.0132000,0.0132000
"2016-03-25",0.346400,0.346400,0.0290000,0.0290000
"2016-03-26",0.303400,0.303400,0.0132000,0.0132000
"2016-03-27",0.0797000,0.0797000,0.00000,0.00000
"2016-03-28",0.0797000,0.0797000,0.00000,0.00000
"2016-03-29",0.0797000,0.0797000,0.00000,0.00000
"2016-03-30",0.137400,0.137400,0.0109000,0.0109000
"2016-03-31",0.0407000,0.0407000,0.00000,0.00000
"2016-04-01",0.0407000,0.0407000,0.00000,0.00000
"2016-04-02",0.0407000,0.0407000,0.00000,0.00000
"2016-04-03",0.0407000,0.0407000,0.00000,0.00000
"2016-04-04",0.101900,0.101900,0.00870000,0.00870000
"2016-04-05",0.101900,0.101900,0.00870000,0.00870000
"2016-04-06",0.109500,0.109500,0.00530000,0.00530000
"2016-04-07",0.115400,0.115400,0.00230000,0.00230000
"2016-04-08",0.446100,0.446100,0.0432000,0.0829277
"2016-04-09",0.473300,0.473300,0.00550000,0.00550000
"2016-04-10",0.835100,0.901265,0.360900,0.360900
"2016-04-11",0.706700,0.706700,0.131400,0.131400
"2016-04-12",0.729700,0.729700,0.138100,0.138100
"2016-04-13",0.277100,0.277100,0.00530000,0.00530000
"2016-04-14",0.377100,0.377100,0.0349000,0.0349000
"2016-04-15",0.713900,0.713900,0.134200,0.134200
"2016-04-16",0.713900,0.713900,0.134200,0.134200
"2016-04-17",0.752900,0.752900,0.153000,0.153000
"2016-04-18",0.746700,0.746700,0.150200,0.150200
"2016-04-19",0.252300,0.252300,0.00340000,0.0613031
"2016-04-20",0.370100,0.370100,0.0719000,0.0719000
"2016-04-21",0.334900,0.334900,0.0217000,0.0780051
"2016-04-22",0.109500,0.109500,0.00530000,0.00530000
"2016-04-23",0.0642000,0.0642000,0.00320000,0.00320000
"2016-04-24",0.0642000,0.0642000,0.00320000,0.00320000
"2016-04-25",0.246800,0.246800,0.0282000,0.0282000
"2016-04-26",0.163200,0.163200,0.0120000,0.0120000
"2016-04-27",0.405400,0.405400,0.0453000,0.0453000
"2016-04-28",0.542800,0.542800,0.0724000,0.0724000
"2016-04-29",0.799700,0.799700,0.188500,0.188500
"2016-04-30",0.693700,0.693700,0.143400,0.143400
"2016-05-01",0.661700,0.661700,0.128900,0.128900
"2016-05-02",0.791100,0.791100,0.189700,0.189700
"2016-05-03",0.725000,0.725000,0.165700,0.165700
"2016-05-04",0.618100,0.618100,0.107800,0.107800
"2016-05-05",0.627700,0.627700,0.167700,0.167700
"2016-05-06",0.290800,0.290800,0.0144000,0.0147426
"2016-05-07",0.158600,0.158600,0.0141000,0.0141000
"2016-05-08",0.190700,0.190700,0.0119000,0.0119000
"2016-05-09",0.243200,0.243200,0.0333000,0.0333000
"2016-05-10",0.602900,0.602900,0.109700,0.109700
"2016-05-11",0.499200,0.499200,0.0746000,0.0746000
"2016-05-12",0.794800,0.794800,0.193400,0.193400
"2016-05-13",0.782100,0.782100,0.181600,0.181600
"2016-05-14",0.863200,0.863200,0.143300,0.143300
"2016-05-15",0.911100,0.911100,0.199600,0.199600
"2016-05-16",0.918300,0.918300,0.272500,0.272500
"2016-05-17",0.680700,0.680700,0.134200,0.134200
"2016-05-18",0.508400,0.508400,0.0269000,0.0269000
"2016-05-19",0.401000,0.401000,0.0109000,0.0109000
"2016-05-20",0.386700,0.386700,0.00550000,0.00550000
"2016-05-21",0.386700,0.386700,0.00550000,0.00550000
"2016-05-22",0.386700,0.386700,0.00550000,0.00550000
"2016-05-23",0.333900,0.333900,0.00000,0.00000
"2016-05-24",0.0488000,0.0488000,0.00000,0.00000
"2016-05-25",0.0871000,0.0871000,0.00550000,0.00550000
