VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",-1.00000,-1.00000,0.0308890,0.0308890
"2016-01-02",-1.00000,-1.00000,0.0239551,0.0284068
"2016-01-03",-1.00000,-1.00000,0.0215830,0.0275644
"2016-01-04",-1.00000,-1.00000,0.0214840,0.0275293
"2016-01-05",-1.00000,-1.00000,0.0505188,0.0505188
"2016-01-06",-1.00000,-1.00000,0.112449,0.112449
"2016-01-07",-1.00000,-1.00000,0.0241528,0.0284770
"2016-01-08",-1.00000,-1.00000,0.0310731,0.0407355
"2016-01-09",-1.00000,-1.00000,0.0899054,0.0904466
"2016-01-10",-1.00000,-1.00000,0.0560074,0.0592930
"2016-01-11",-1.00000,-1.00000,0.0358628,0.0424364
"2016-01-12",-1.00000,-1.00000,0.0219790,0.0277050
"2016-01-13",-1.00000,-1.00000,0.0219790,0.0277050
"2016-01-14",-1.00000,-1.00000,0.0234608,0.0282313
"2016-01-15",-1.00000,-1.00000,0.0500380,0.0500380
"2016-01-16",-1.00000,-1.00000,0.0231643,0.0281260
"2016-01-17",-1.00000,-1.00000,0.0241526,0.0284769
"2016-01-18",-1.00000,-1.00000,0.0227689,0.0279856
"2016-01-19",-1.00000,-1.00000,0.0114000,0.0140483
"2016-01-20",-1.00000,-1.00000,0.0113000,0.0140128
"2016-01-21",-1.00000,-1.00000,0.0507423,0.0507423
"2016-01-22",-1.00000,-1.00000,0.0226701,0.0279505
"2016-01-23",-1.00000,-1.00000,0.0223750,0.0278457
"2016-01-24",-1.00000,-1.00000,0.0443962,0.0443962
"2016-01-25",-1.00000,-1.00000,0.0223750,0.0278457
"2016-01-26",-1.00000,-1.00000,0.0536590,0.0536590
"2016-01-27",-1.00000,-1.00000,0.0528274,0.0528274
"2016-01-28",-1.00000,-1.00000,0.122073,0.122073
"2016-01-29",-1.00000,-1.00000,0.0199000,0.0269668
"2016-01-30",-1.00000,-1.00000,0.0240539,0.0284419
"2016-01-31",-1.00000,-1.00000,0.0385000,0.0385000
"2016-02-01",-1.00000,-1.00000,0.0215830,0.0275644
"2016-02-02",-1.00000,-1.00000,0.0114000,0.0140483
"2016-02-03",-1.00000,-1.00000,0.0596253,0.0701837
"2016-02-04",-1.00000,-1.00000,0.153031,0.153031
"2016-02-05",-1.00000,-1.00000,0.0565592,0.0565592
"2016-02-06",-1.00000,-1.00000,0.0230656,0.0280909
"2016-02-07",-1.00000,-1.00000,0.0462750,0.0558369
"2016-02-08",-1.00000,-1.00000,0.0840560,0.0840560
"2016-02-09",-1.00000,-1.00000,0.0723200,0.0723200
"2016-02-10",-1.00000,-1.00000,0.0623210,0.0711410
"2016-02-11",-1.00000,-1.00000,0.0204000,0.0204000
"2016-02-12",-1.00000,-1.00000,0.0642000,0.0642000
"2016-02-13",-1.00000,-1.00000,0.252000,0.252000
"2016-02-14",-1.00000,-1.00000,0.0333000,0.0333000
"2016-02-15",-1.00000,-1.00000,0.0665594,0.0665594
"2016-02-16",-1.00000,-1.00000,0.0321587,0.0321587
"2016-02-17",-1.00000,-1.00000,0.0238562,0.0283717
"2016-02-18",-1.00000,-1.00000,0.0386000,0.0386000
"2016-02-19",-1.00000,-1.00000,0.0239550,0.0284068
"2016-02-20",-1.00000,-1.00000,0.0349842,0.0421244
"2016-02-21",-1.00000,-1.00000,0.0872951,0.0872951
"2016-02-22",-1.00000,-1.00000,0.0441183,0.0441183
"2016-02-23",-1.00000,-1.00000,0.0412501,0.0443495
"2016-02-24",-1.00000,-1.00000,0.0362533,0.0425750
"2016-02-25",-1.00000,-1.00000,0.0225712,0.0279154
"2016-02-26",-1.00000,-1.00000,0.0470470,0.0561110
"2016-02-27",-1.00000,-1.00000,0.109583,0.109583
"2016-02-28",-1.00000,-1.00000,0.121957,0.121957
"2016-02-29",-1.00000,-1.00000,0.180370,0.180370
"2016-03-01",-1.00000,-1.00000,0.131494,0.131494
"2016-03-02",-1.00000,-1.00000,0.155406,0.155406
"2016-03-03",-1.00000,-1.00000,0.124793,0.124793
"2016-03-04",-1.00000,-1.00000,0.168555,0.168555
"2016-03-05",-1.00000,-1.00000,0.177797,0.177797
"2016-03-06",-1.00000,-1.00000,0.109703,0.109703
"2016-03-07",-1.00000,-1.00000,0.108147,0.108147
"2016-03-08",-1.00000,-1.00000,0.0374304,0.0429931
"2016-03-09",-1.00000,-1.00000,0.0783536,0.0783536
"2016-03-10",-1.00000,-1.00000,0.132670,0.132670
"2016-03-11",-1.00000,-1.00000,0.0443526,0.0454512
"2016-03-12",-1.00000,-1.00000,0.0712072,0.0712072
"2016-03-13",-1.00000,-1.00000,0.0694250,0.0694250
"2016-03-14",-1.00000,-1.00000,0.0436761,0.0452110
"2016-03-15",-1.00000,-1.00000,0.0844849,0.0844849
"2016-03-16",-1.00000,-1.00000,0.0495921,0.0495921
"2016-03-17",-1.00000,-1.00000,0.0719564,0.0719564
"2016-03-18",-1.00000,-1.00000,0.0996830,0.0996830
