VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016--0-1-",0.250000,0.250000,0.0400000,0.0400000
"2016--0-1-",0.600000,0.600000,0.170000,0.186277
"2016--0-1-",0.330000,0.330000,0.0500000,0.0500000
"2016--0-1-",0.420000,0.420000,0.0800000,0.0800000
"2016--0-1-",0.390000,0.390000,0.0700000,0.0700000
"2016--0-1-",0.190000,0.190000,0.0200000,0.0200000
"2016--0-1-",0.260000,0.260000,0.0400000,0.0400000
"2016--0-1-",0.670000,0.670000,0.130000,0.130000
"2016--0-1-",0.720000,0.720000,0.120000,0.120000
"2016--0-1-",0.690000,0.690000,0.150000,0.150000
"2016--0-1-",0.320000,0.320000,0.0900000,0.0900000
"2016--0-1-",0.330000,0.330000,0.0500000,0.0500000
"2016--0-1-",0.260000,0.260000,0.0400000,0.0400000
"2016--0-1-",0.210000,0.210000,0.0300000,0.0300000
"2016--0-1-",0.410000,0.410000,0.0700000,0.0700000
"2016--0-1-",0.470000,0.470000,0.0800000,0.0800000
"2016--0-1-",0.280000,0.280000,0.0500000,0.0500000
"2016--0-1-",0.200000,0.200000,0.0300000,0.0300000
"2016--0-1-",0.190000,0.190000,0.0200000,0.0200000
"2016--0-1-",0.390000,0.390000,0.0700000,0.0700000
"2016--0-1-",0.600000,0.600000,0.110000,0.110000
"2016--0-1-",0.610000,0.610000,0.120000,0.120000
"2016--0-1-",0.470000,0.470000,0.0900000,0.0900000
"2016--0-1-",0.360000,0.360000,0.0800000,0.0800000
"2016--0-1-",0.780000,0.788376,0.200000,0.253855
"2016--0-1-",0.370000,0.370000,0.0800000,0.0800000
"2016--0-1-",0.560000,0.560000,0.120000,0.120000
"2016--0-1-",0.790000,0.790000,0.150000,0.150000
"2016--0-1-",0.870000,0.870000,0.250000,0.250000
"2016--0-1-",0.530000,0.530000,0.0900000,0.0900000
"2016--0-1-",0.180000,0.180000,0.0500000,0.0500000
"2016--0-2-",0.390000,0.390000,0.0900000,0.0900000
"2016--0-2-",0.410000,0.410000,0.0900000,0.0900000
"2016--0-2-",0.490000,0.490000,0.100000,0.100000
"2016--0-2-",0.820000,0.820000,0.220000,0.220000
"2016--0-2-",0.870000,0.901979,0.300000,0.305783
"2016--0-2-",0.450000,0.450000,0.0700000,0.0700000
"2016--0-2-",0.900000,0.934960,0.270000,0.318205
