VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",-1.00000,-1.00000,-1.00000,0.0168473
"2016-01-02",-1.00000,-1.00000,-1.00000,0.0349180
"2016-01-03",-1.00000,-1.00000,-1.00000,0.0333473
"2016-01-04",-1.00000,-1.00000,-1.00000,0.0301044
"2016-01-05",-1.00000,-1.00000,-1.00000,0.00951680
"2016-01-06",-1.00000,-1.00000,-1.00000,0.00957984
"2016-01-07",-1.00000,-1.00000,-1.00000,0.0160455
"2016-01-08",-1.00000,-1.00000,-1.00000,0.0608639
"2016-01-09",-1.00000,-1.00000,-1.00000,0.0499293
"2016-01-10",-1.00000,-1.00000,-1.00000,0.0429521
"2016-01-11",-1.00000,-1.00000,-1.00000,0.0283646
"2016-01-12",-1.00000,-1.00000,-1.00000,0.00000
"2016-01-13",-1.00000,-1.00000,-1.00000,0.0100092
"2016-01-14",-1.00000,-1.00000,-1.00000,0.00000
"2016-01-15",-1.00000,-1.00000,-1.00000,0.0157184
"2016-01-16",-1.00000,-1.00000,-1.00000,0.0129486
"2016-01-17",-1.00000,-1.00000,-1.00000,0.00934953
"2016-01-18",-1.00000,-1.00000,-1.00000,0.00771539
"2016-01-19",-1.00000,-1.00000,-1.00000,-1.00000
"2016-01-20",-1.00000,-1.00000,-1.00000,0.0349180
"2016-01-21",-1.00000,-1.00000,-1.00000,0.0375758
"2016-01-22",-1.00000,-1.00000,-1.00000,0.0356572
"2016-01-23",-1.00000,-1.00000,-1.00000,0.0269078
"2016-01-24",-1.00000,-1.00000,-1.00000,0.0263799
"2016-01-25",-1.00000,-1.00000,-1.00000,0.0307726
"2016-01-26",-1.00000,-1.00000,-1.00000,0.0488929
"2016-01-27",-1.00000,-1.00000,-1.00000,0.0673003
"2016-01-28",-1.00000,-1.00000,-1.00000,0.0836738
"2016-01-29",-1.00000,-1.00000,-1.00000,0.0424989
"2016-01-30",-1.00000,-1.00000,-1.00000,0.0160071
"2016-01-31",-1.00000,-1.00000,-1.00000,0.0323822
"2016-02-01",-1.00000,-1.00000,-1.00000,0.0144676
"2016-02-02",-1.00000,-1.00000,-1.00000,0.0147981
"2016-02-03",-1.00000,-1.00000,-1.00000,0.0285451
"2016-02-04",-1.00000,-1.00000,-1.00000,0.105136
"2016-02-05",-1.00000,-1.00000,-1.00000,0.0767986
"2016-02-06",-1.00000,-1.00000,-1.00000,0.0370456
"2016-02-07",-1.00000,-1.00000,-1.00000,0.0707098
"2016-02-08",-1.00000,-1.00000,-1.00000,0.0719023
"2016-02-09",-1.00000,-1.00000,-1.00000,0.0876124
"2016-02-10",-1.00000,-1.00000,-1.00000,0.119159
"2016-02-11",-1.00000,-1.00000,-1.00000,0.0416609
"2016-02-12",-1.00000,-1.00000,-1.00000,0.0467761
"2016-02-13",-1.00000,-1.00000,-1.00000,0.379469
"2016-02-14",-1.00000,-1.00000,-1.00000,0.401848
"2016-02-15",-1.00000,-1.00000,-1.00000,0.381694
"2016-02-16",-1.00000,-1.00000,-1.00000,0.0186415
"2016-02-17",-1.00000,-1.00000,-1.00000,0.0349180
"2016-02-18",-1.00000,-1.00000,-1.00000,0.0118978
"2016-02-19",-1.00000,-1.00000,-1.00000,0.00000
"2016-02-20",-1.00000,-1.00000,-1.00000,0.0386109
"2016-02-21",-1.00000,-1.00000,-1.00000,0.0332247
"2016-02-22",-1.00000,-1.00000,-1.00000,0.0214604
"2016-02-23",-1.00000,-1.00000,-1.00000,0.0194020
"2016-02-24",-1.00000,-1.00000,-1.00000,0.0112884
"2016-02-25",-1.00000,-1.00000,-1.00000,0.0113839
"2016-02-26",-1.00000,-1.00000,-1.00000,0.0251673
"2016-02-27",-1.00000,-1.00000,-1.00000,0.0299295
"2016-02-28",-1.00000,-1.00000,-1.00000,0.0146735
"2016-02-29",-1.00000,-1.00000,-1.00000,0.0281722
"2016-03-01",-1.00000,-1.00000,-1.00000,0.0197871
"2016-03-02",-1.00000,-1.00000,-1.00000,0.0339991
"2016-03-03",-1.00000,-1.00000,-1.00000,0.0189474
"2016-03-04",-1.00000,-1.00000,-1.00000,0.0220549
"2016-03-05",-1.00000,-1.00000,-1.00000,0.0316681
"2016-03-06",-1.00000,-1.00000,-1.00000,0.00000
"2016-03-07",-1.00000,-1.00000,-1.00000,0.0189399
"2016-03-08",-1.00000,-1.00000,-1.00000,0.0115378
"2016-03-09",-1.00000,-1.00000,-1.00000,0.00000
"2016-03-10",-1.00000,-1.00000,-1.00000,0.0146503
"2016-03-11",-1.00000,-1.00000,-1.00000,0.00995923
"2016-03-12",-1.00000,-1.00000,-1.00000,0.0262697
"2016-03-13",-1.00000,-1.00000,-1.00000,0.0231813
"2016-03-14",-1.00000,-1.00000,-1.00000,0.0117315
"2016-03-15",-1.00000,-1.00000,-1.00000,0.0227088
"2016-03-16",-1.00000,-1.00000,-1.00000,0.0404439
"2016-03-17",-1.00000,-1.00000,-1.00000,0.0267367
"2016-03-18",-1.00000,-1.00000,-1.00000,0.0349180
"2016-03-19",-1.00000,-1.00000,-1.00000,0.0498307
"2016-03-20",-1.00000,-1.00000,-1.00000,0.0507858
"2016-03-21",-1.00000,-1.00000,-1.00000,0.0185618
"2016-03-22",-1.00000,-1.00000,-1.00000,0.0146648
"2016-03-23",-1.00000,-1.00000,-1.00000,0.00000
"2016-03-24",-1.00000,-1.00000,-1.00000,0.0141109
"2016-03-25",-1.00000,-1.00000,-1.00000,0.0125234
"2016-03-26",-1.00000,-1.00000,-1.00000,0.0631301
"2016-03-27",-1.00000,-1.00000,-1.00000,0.0573686
"2016-03-28",-1.00000,-1.00000,-1.00000,0.0349180
"2016-03-29",-1.00000,-1.00000,-1.00000,0.0111175
"2016-03-30",-1.00000,-1.00000,-1.00000,0.00000
"2016-03-31",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-01",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-02",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-03",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-04",-1.00000,-1.00000,-1.00000,0.0337188
"2016-04-05",-1.00000,-1.00000,-1.00000,0.0349180
"2016-04-06",-1.00000,-1.00000,-1.00000,0.0171034
"2016-04-07",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-08",-1.00000,-1.00000,-1.00000,0.0349180
"2016-04-09",-1.00000,-1.00000,-1.00000,0.0349180
"2016-04-10",-1.00000,-1.00000,-1.00000,0.277574
"2016-04-11",-1.00000,-1.00000,-1.00000,0.202343
"2016-04-12",-1.00000,-1.00000,-1.00000,0.0564021
"2016-04-13",-1.00000,-1.00000,-1.00000,0.0533851
"2016-04-14",-1.00000,-1.00000,-1.00000,0.0579904
"2016-04-15",-1.00000,-1.00000,-1.00000,0.0380469
"2016-04-16",-1.00000,-1.00000,-1.00000,0.0880891
"2016-04-17",-1.00000,-1.00000,-1.00000,0.0589204
"2016-04-18",-1.00000,-1.00000,-1.00000,0.275259
"2016-04-19",-1.00000,-1.00000,-1.00000,0.00924249
"2016-04-20",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-21",-1.00000,-1.00000,-1.00000,0.0349180
"2016-04-22",-1.00000,-1.00000,-1.00000,0.0194519
"2016-04-23",-1.00000,-1.00000,-1.00000,0.00000
"2016-04-24",-1.00000,-1.00000,-1.00000,0.0134975
"2016-04-25",-1.00000,-1.00000,-1.00000,0.0147430
"2016-04-26",-1.00000,-1.00000,-1.00000,0.0105831
"2016-04-27",-1.00000,-1.00000,-1.00000,0.0401188
"2016-04-28",-1.00000,-1.00000,-1.00000,0.0281445
"2016-04-29",-1.00000,-1.00000,-1.00000,0.0371900
"2016-04-30",-1.00000,-1.00000,-1.00000,0.0111836
"2016-05-01",-1.00000,-1.00000,-1.00000,0.0693750
"2016-05-02",-1.00000,-1.00000,-1.00000,0.0461476
"2016-05-03",-1.00000,-1.00000,-1.00000,0.0368741
"2016-05-04",-1.00000,-1.00000,-1.00000,0.0268406
"2016-05-05",-1.00000,-1.00000,-1.00000,0.0309827
"2016-05-06",-1.00000,-1.00000,-1.00000,0.0101612
"2016-05-07",-1.00000,-1.00000,-1.00000,0.0156099
"2016-05-08",-1.00000,-1.00000,-1.00000,0.0138026
"2016-05-09",-1.00000,-1.00000,-1.00000,0.0269538
"2016-05-10",-1.00000,-1.00000,-1.00000,0.0396093
"2016-05-11",-1.00000,-1.00000,-1.00000,0.0449739
"2016-05-12",-1.00000,-1.00000,-1.00000,0.0667086
"2016-05-13",-1.00000,-1.00000,-1.00000,0.0791355
"2016-05-14",-1.00000,-1.00000,-1.00000,0.0555434
"2016-05-15",-1.00000,-1.00000,-1.00000,0.0401024
"2016-05-16",-1.00000,-1.00000,-1.00000,0.154523
"2016-05-17",-1.00000,-1.00000,-1.00000,0.0702017
"2016-05-18",-1.00000,-1.00000,-1.00000,0.0552793
"2016-05-19",-1.00000,-1.00000,-1.00000,0.114451
"2016-05-20",-1.00000,-1.00000,-1.00000,0.0222967
"2016-05-21",-1.00000,-1.00000,-1.00000,0.0527264
"2016-05-22",-1.00000,-1.00000,-1.00000,0.0780614
"2016-05-23",-1.00000,-1.00000,-1.00000,0.0336064
"2016-05-24",-1.00000,-1.00000,-1.00000,0.00000
"2016-05-25",-1.00000,-1.00000,-1.00000,0.134879
"2016-05-26",-1.00000,-1.00000,-1.00000,0.0204133
"2016-05-27",-1.00000,-1.00000,-1.00000,0.0299808
"2016-05-28",-1.00000,-1.00000,-1.00000,0.0185572
"2016-05-29",-1.00000,-1.00000,-1.00000,0.0112161
"2016-05-30",-1.00000,-1.00000,-1.00000,0.0349180
"2016-05-31",-1.00000,-1.00000,-1.00000,0.0152036
"2016-06-01",-1.00000,-1.00000,-1.00000,0.0360445
"2016-06-02",-1.00000,-1.00000,-1.00000,0.0121740
"2016-06-03",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-04",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-05",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-06",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-07",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-08",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-09",-1.00000,-1.00000,-1.00000,0.0155416
"2016-06-10",-1.00000,-1.00000,-1.00000,0.0723599
"2016-06-11",-1.00000,-1.00000,-1.00000,0.0550313
"2016-06-12",-1.00000,-1.00000,-1.00000,0.0801677
"2016-06-13",-1.00000,-1.00000,-1.00000,0.0201784
"2016-06-14",-1.00000,-1.00000,-1.00000,0.0193503
"2016-06-15",-1.00000,-1.00000,-1.00000,0.0116216
"2016-06-16",-1.00000,-1.00000,-1.00000,0.0255817
"2016-06-17",-1.00000,-1.00000,-1.00000,0.0461711
"2016-06-18",-1.00000,-1.00000,-1.00000,0.0349180
"2016-06-19",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-20",-1.00000,-1.00000,-1.00000,0.0103642
"2016-06-21",-1.00000,-1.00000,-1.00000,0.0467021
"2016-06-22",-1.00000,-1.00000,-1.00000,0.0349180
"2016-06-23",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-24",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-25",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-26",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-27",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-28",-1.00000,-1.00000,-1.00000,0.00000
"2016-06-29",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-30",-1.00000,-1.00000,-1.00000,-1.00000
"2016-07-01",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-02",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-03",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-04",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-05",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-06",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-07",-1.00000,-1.00000,-1.00000,0.0104156
"2016-07-08",-1.00000,-1.00000,-1.00000,0.00821911
"2016-07-09",-1.00000,-1.00000,-1.00000,0.0277898
"2016-07-10",-1.00000,-1.00000,-1.00000,0.0216348
"2016-07-11",-1.00000,-1.00000,-1.00000,0.0242674
"2016-07-12",-1.00000,-1.00000,-1.00000,0.0351681
"2016-07-13",-1.00000,-1.00000,-1.00000,0.0730860
"2016-07-14",-1.00000,-1.00000,-1.00000,0.0615552
"2016-07-15",-1.00000,-1.00000,-1.00000,0.0463975
"2016-07-16",-1.00000,-1.00000,-1.00000,0.109834
"2016-07-17",-1.00000,-1.00000,-1.00000,0.0111893
"2016-07-18",-1.00000,-1.00000,-1.00000,0.0436150
"2016-07-19",-1.00000,-1.00000,-1.00000,0.0429627
"2016-07-20",-1.00000,-1.00000,-1.00000,0.0634665
"2016-07-21",-1.00000,-1.00000,-1.00000,0.170450
"2016-07-22",-1.00000,-1.00000,-1.00000,0.395684
"2016-07-23",-1.00000,-1.00000,-1.00000,0.0349180
"2016-07-24",-1.00000,-1.00000,-1.00000,0.0349180
"2016-07-25",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-26",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-27",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-28",-1.00000,-1.00000,-1.00000,0.00000
"2016-07-29",-1.00000,-1.00000,-1.00000,-1.00000
"2016-07-30",-1.00000,-1.00000,-1.00000,0.0138656
"2016-07-31",-1.00000,-1.00000,-1.00000,0.00000
"2016-08-01",-1.00000,-1.00000,-1.00000,0.00000
"2016-08-02",-1.00000,-1.00000,-1.00000,0.00000
"2016-08-03",-1.00000,-1.00000,-1.00000,-1.00000
"2016-08-04",-1.00000,-1.00000,-1.00000,-1.00000
"2016-08-05",-1.00000,-1.00000,-1.00000,-1.00000
"2016-08-06",-1.00000,-1.00000,-1.00000,0.0330737
"2016-08-07",-1.00000,-1.00000,-1.00000,0.0445931
"2016-08-08",-1.00000,-1.00000,-1.00000,0.0613921
"2016-08-09",-1.00000,-1.00000,-1.00000,0.0168227
"2016-08-10",-1.00000,-1.00000,-1.00000,0.0326286
"2016-08-11",-1.00000,-1.00000,-1.00000,0.0192925
"2016-08-12",-1.00000,-1.00000,-1.00000,0.0235752
"2016-08-13",-1.00000,-1.00000,-1.00000,0.0113818
"2016-08-14",-1.00000,-1.00000,-1.00000,0.00801857
"2016-08-15",-1.00000,-1.00000,-1.00000,0.0135357
"2016-08-16",-1.00000,-1.00000,-1.00000,0.0357716
"2016-08-17",-1.00000,-1.00000,-1.00000,0.0183422
"2016-08-18",-1.00000,-1.00000,-1.00000,0.00000
"2016-08-19",-1.00000,-1.00000,-1.00000,0.00902515
"2016-08-20",-1.00000,-1.00000,-1.00000,0.0349180
"2016-08-21",-1.00000,-1.00000,-1.00000,0.00000
