VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",-1.00000,0.778454,-1.00000,0.0326519
"2016-01-02",-1.00000,0.667816,-1.00000,0.0215428
"2016-01-03",-1.00000,0.133650,-1.00000,0.0111179
"2016-01-04",-1.00000,0.176088,-1.00000,0.0295284
"2016-01-05",-1.00000,0.187407,-1.00000,0.0295284
"2016-01-06",-1.00000,0.168537,-1.00000,0.0245233
"2016-01-07",-1.00000,0.676184,-1.00000,0.0514444
"2016-01-08",-1.00000,0.350703,-1.00000,0.0371673
"2016-01-09",-1.00000,0.409784,-1.00000,0.0394618
"2016-01-10",-1.00000,0.640878,-1.00000,0.0435376
"2016-01-11",-1.00000,0.288858,-1.00000,0.0345079
"2016-01-12",-1.00000,0.354607,-1.00000,0.0303936
"2016-01-13",-1.00000,0.323125,-1.00000,0.0249582
"2016-01-14",-1.00000,0.265331,-1.00000,0.0245233
"2016-01-15",-1.00000,0.373325,-1.00000,0.0240882
"2016-01-16",-1.00000,0.375173,-1.00000,0.0377499
"2016-01-17",-1.00000,0.196236,-1.00000,0.0253929
"2016-01-18",-1.00000,0.234643,-1.00000,0.0290956
"2016-01-19",-1.00000,0.195945,-1.00000,0.0249582
"2016-01-20",-1.00000,0.429484,-1.00000,0.0290956
"2016-01-21",-1.00000,0.354399,-1.00000,0.197560
"2016-01-22",-1.00000,0.299935,-1.00000,0.0311788
"2016-01-23",-1.00000,0.298494,-1.00000,0.0199295
"2016-01-24",-1.00000,0.383302,-1.00000,0.0236529
"2016-01-25",-1.00000,0.432569,-1.00000,0.0553571
"2016-01-26",-1.00000,0.478333,-1.00000,0.0276893
"2016-01-27",-1.00000,0.548757,-1.00000,0.0190550
"2016-01-28",-1.00000,0.665966,-1.00000,0.0404678
"2016-01-29",-1.00000,0.612954,-1.00000,0.0975967
"2016-01-30",-1.00000,0.559826,-1.00000,0.0162131
"2016-01-31",-1.00000,0.507866,-1.00000,0.0148748
"2016-02-01",-1.00000,0.341790,-1.00000,0.0194923
"2016-02-02",-1.00000,0.225547,-1.00000,0.0245233
"2016-02-03",-1.00000,0.483409,-1.00000,0.0249582
"2016-02-04",-1.00000,0.725667,-1.00000,0.0467463
"2016-02-05",-1.00000,0.784165,-1.00000,0.116943
"2016-02-06",-1.00000,0.843036,-1.00000,0.0639969
"2016-02-07",-1.00000,0.700123,-1.00000,0.0597214
"2016-02-08",-1.00000,0.781100,-1.00000,0.0571305
"2016-02-09",-1.00000,0.877291,-1.00000,0.0404059
"2016-02-10",-1.00000,0.701585,-1.00000,0.0299611
"2016-02-11",-1.00000,0.734098,-1.00000,0.0907519
"2016-02-12",-1.00000,0.752412,-1.00000,0.0719463
"2016-02-13",-1.00000,0.709856,-1.00000,0.124773
"2016-02-14",-1.00000,0.928090,-1.00000,0.257925
"2016-02-15",-1.00000,0.861525,-1.00000,0.241512
"2016-02-16",-1.00000,0.835564,-1.00000,0.471012
"2016-02-17",-1.00000,0.901255,-1.00000,0.0780534
"2016-02-18",-1.00000,0.156023,-1.00000,0.160629
"2016-02-19",-1.00000,0.161959,-1.00000,0.0237743
"2016-02-20",-1.00000,0.342871,-1.00000,0.0216761
"2016-02-21",-1.00000,0.324615,-1.00000,0.0290956
"2016-02-22",-1.00000,0.257552,-1.00000,0.0245233
"2016-02-23",-1.00000,0.254686,-1.00000,0.0253929
"2016-02-24",-1.00000,0.296786,-1.00000,0.180513
"2016-02-25",-1.00000,0.190220,-1.00000,0.0242530
"2016-02-26",-1.00000,0.260025,-1.00000,0.0194923
"2016-02-27",-1.00000,0.169752,-1.00000,0.0243505
"2016-02-28",-1.00000,0.336240,-1.00000,0.0501953
"2016-02-29",-1.00000,0.395127,-1.00000,0.0190550
"2016-03-01",-1.00000,0.143133,-1.00000,0.0190550
"2016-03-02",-1.00000,0.159119,-1.00000,0.0332154
