VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",-1.00000,0.209217,-1.00000,0.0779450
"2016-01-02",-1.00000,0.170912,-1.00000,0.0686224
"2016-01-03",-1.00000,0.157230,-1.00000,0.0768695
"2016-01-04",-1.00000,0.209209,-1.00000,0.117710
"2016-01-05",-1.00000,0.211853,-1.00000,0.107858
"2016-01-06",-1.00000,0.223906,-1.00000,0.102469
"2016-01-07",-1.00000,0.221688,-1.00000,0.113849
"2016-01-08",-1.00000,0.246939,-1.00000,0.146391
"2016-01-09",-1.00000,0.508218,-1.00000,0.329040
"2016-01-10",-1.00000,0.588353,-1.00000,0.320993
"2016-01-11",-1.00000,0.439414,-1.00000,0.244276
"2016-01-12",-1.00000,0.565951,-1.00000,0.299809
"2016-01-13",-1.00000,0.403263,-1.00000,0.233267
"2016-01-14",-1.00000,0.259039,-1.00000,0.178277
"2016-01-15",-1.00000,0.373700,-1.00000,0.221912
"2016-01-16",-1.00000,0.238750,-1.00000,0.143593
"2016-01-17",-1.00000,0.193327,-1.00000,0.0840799
"2016-01-18",-1.00000,0.218719,-1.00000,0.0919124
"2016-01-19",-1.00000,0.164373,-1.00000,0.0655315
"2016-01-20",-1.00000,0.214101,-1.00000,0.102987
"2016-01-21",-1.00000,0.354399,-1.00000,0.197560
"2016-01-22",-1.00000,0.406069,-1.00000,0.221220
"2016-01-23",-1.00000,0.365356,-1.00000,0.183662
"2016-01-24",-1.00000,0.346919,-1.00000,0.155633
"2016-01-25",-1.00000,0.401456,-1.00000,0.176928
"2016-01-26",-1.00000,0.497807,-1.00000,0.234815
"2016-01-27",-1.00000,0.472566,-1.00000,0.250761
"2016-01-28",-1.00000,0.497015,-1.00000,0.325529
"2016-01-29",-1.00000,0.386063,-1.00000,0.191831
"2016-01-30",-1.00000,0.237344,-1.00000,0.119982
"2016-01-31",-1.00000,0.364490,-1.00000,0.169146
"2016-02-01",-1.00000,0.341644,-1.00000,0.181686
"2016-02-02",-1.00000,0.191828,-1.00000,0.117338
"2016-02-03",-1.00000,0.208011,-1.00000,0.109698
"2016-02-04",-1.00000,0.356080,-1.00000,0.227564
"2016-02-05",-1.00000,0.554797,-1.00000,0.283912
"2016-02-06",-1.00000,0.477268,-1.00000,0.223909
"2016-02-07",-1.00000,0.642748,-1.00000,0.326031
"2016-02-08",-1.00000,0.648206,-1.00000,0.380231
"2016-02-09",-1.00000,0.546299,-1.00000,0.291390
"2016-02-10",-1.00000,0.531548,-1.00000,0.284303
"2016-02-11",-1.00000,0.563055,-1.00000,0.270367
"2016-02-12",-1.00000,0.522513,-1.00000,0.268295
"2016-02-13",-1.00000,0.394387,-1.00000,0.226873
"2016-02-14",-1.00000,0.465312,-1.00000,0.363248
"2016-02-15",-1.00000,0.424222,-1.00000,0.311237
"2016-02-16",-1.00000,0.331045,-1.00000,0.182427
"2016-02-17",-1.00000,0.304999,-1.00000,0.135990
"2016-02-18",-1.00000,0.302167,-1.00000,0.142283
"2016-02-19",-1.00000,0.247561,-1.00000,0.126142
"2016-02-20",-1.00000,0.301374,-1.00000,0.171066
"2016-02-21",-1.00000,0.471026,-1.00000,0.316189
"2016-02-22",-1.00000,0.351616,-1.00000,0.281457
"2016-02-23",-1.00000,0.375712,-1.00000,0.283705
"2016-02-24",-1.00000,0.296786,-1.00000,0.180513
"2016-02-25",-1.00000,0.186268,-1.00000,0.110032
"2016-02-26",-1.00000,0.181241,-1.00000,0.0863086
"2016-02-27",-1.00000,0.192724,-1.00000,0.0940918
"2016-02-28",-1.00000,0.206726,-1.00000,0.107364
"2016-02-29",-1.00000,0.173556,-1.00000,0.0886635
"2016-03-01",-1.00000,0.235359,-1.00000,0.123894
"2016-03-02",-1.00000,0.208100,-1.00000,0.106129
"2016-03-03",-1.00000,0.313873,-1.00000,0.146086
"2016-03-04",-1.00000,0.361455,-1.00000,0.158809
"2016-03-05",-1.00000,0.464485,-1.00000,0.219638
"2016-03-06",-1.00000,0.346106,-1.00000,0.175823
"2016-03-07",-1.00000,0.542139,-1.00000,0.287448
"2016-03-08",-1.00000,0.476501,-1.00000,0.242767
"2016-03-09",-1.00000,0.434462,-1.00000,0.244844
"2016-03-10",-1.00000,0.396000,-1.00000,0.198744
"2016-03-11",-1.00000,0.397638,-1.00000,0.170977
"2016-03-12",-1.00000,0.243046,-1.00000,0.124351
"2016-03-13",-1.00000,0.283257,-1.00000,0.168503
"2016-03-14",-1.00000,0.223398,-1.00000,0.130763
"2016-03-15",-1.00000,0.348508,-1.00000,0.195950
"2016-03-16",-1.00000,0.293277,-1.00000,0.159196
"2016-03-17",-1.00000,0.295550,-1.00000,0.157266
"2016-03-18",-1.00000,0.292821,-1.00000,0.160397
"2016-03-19",-1.00000,0.300449,-1.00000,0.197915
"2016-03-20",-1.00000,0.277425,-1.00000,0.165119
"2016-03-21",-1.00000,0.274456,-1.00000,0.166514
"2016-03-22",-1.00000,0.184215,-1.00000,0.101548
"2016-03-23",-1.00000,0.241471,-1.00000,0.134919
"2016-03-24",-1.00000,0.122091,-1.00000,0.0718210
"2016-03-25",-1.00000,0.193664,-1.00000,0.117220
"2016-03-26",-1.00000,0.214798,-1.00000,0.168098
"2016-03-27",-1.00000,0.117991,-1.00000,0.105963
"2016-03-28",-1.00000,0.148395,-1.00000,0.127260
"2016-03-29",-1.00000,0.111103,-1.00000,0.101470
"2016-03-30",-1.00000,0.121068,-1.00000,0.102703
"2016-03-31",-1.00000,0.0836014,-1.00000,0.0848810
"2016-04-01",-1.00000,0.0920693,-1.00000,0.0848846
"2016-04-02",-1.00000,0.0737501,-1.00000,0.0870167
"2016-04-03",-1.00000,0.0685600,-1.00000,0.0715031
"2016-04-04",-1.00000,0.130451,-1.00000,0.0635680
"2016-04-05",-1.00000,0.116573,-1.00000,0.0493114
"2016-04-06",-1.00000,0.100117,-1.00000,0.0460919
"2016-04-07",-1.00000,0.127789,-1.00000,0.0655235
"2016-04-08",-1.00000,0.102681,-1.00000,0.0512675
"2016-04-09",-1.00000,0.160507,-1.00000,0.0749304
"2016-04-10",-1.00000,0.411107,-1.00000,0.0186217
"2016-04-11",-1.00000,0.130928,-1.00000,0.0327956
"2016-04-12",-1.00000,0.153515,-1.00000,0.0450084
"2016-04-13",-1.00000,0.158047,-1.00000,0.0269725
"2016-04-14",-1.00000,0.202692,-1.00000,0.0532115
"2016-04-15",-1.00000,0.185760,-1.00000,0.0366676
"2016-04-16",-1.00000,0.242599,-1.00000,0.0414239
"2016-04-17",-1.00000,0.243179,-1.00000,0.0535398
"2016-04-18",-1.00000,0.170004,-1.00000,0.0386758
"2016-04-19",-1.00000,0.176382,-1.00000,0.0448479
"2016-04-20",-1.00000,0.150713,-1.00000,0.0559771
"2016-04-21",-1.00000,0.173694,-1.00000,0.0837748
"2016-04-22",-1.00000,0.176163,-1.00000,0.106037
"2016-04-23",-1.00000,0.170263,-1.00000,0.138483
"2016-04-24",-1.00000,0.149924,-1.00000,0.117584
"2016-04-25",-1.00000,0.210498,-1.00000,0.140573
"2016-04-26",-1.00000,0.198695,-1.00000,0.140068
"2016-04-27",-1.00000,0.269190,-1.00000,0.179898
"2016-04-28",-1.00000,0.354108,-1.00000,0.223788
"2016-04-29",-1.00000,0.392875,-1.00000,0.220996
"2016-04-30",-1.00000,0.390542,-1.00000,0.249485
"2016-05-01",-1.00000,0.336118,-1.00000,0.179635
"2016-05-02",-1.00000,0.315944,-1.00000,0.160501
"2016-05-03",-1.00000,0.300756,-1.00000,0.153835
"2016-05-04",-1.00000,0.320466,-1.00000,0.140304
"2016-05-05",-1.00000,0.309251,-1.00000,0.135781
"2016-05-06",-1.00000,0.241329,-1.00000,0.113224
"2016-05-07",-1.00000,0.217543,-1.00000,0.117391
"2016-05-08",-1.00000,0.200500,-1.00000,0.124986
"2016-05-09",-1.00000,0.268680,-1.00000,0.177726
"2016-05-10",-1.00000,0.342043,-1.00000,0.208964
"2016-05-11",-1.00000,0.340117,-1.00000,0.194580
"2016-05-12",-1.00000,0.348525,-1.00000,0.232242
"2016-05-13",-1.00000,0.306695,-1.00000,0.210459
"2016-05-14",-1.00000,0.238033,-1.00000,0.140396
"2016-05-15",-1.00000,0.439600,-1.00000,0.308812
"2016-05-16",-1.00000,0.265079,-1.00000,0.203157
"2016-05-17",-1.00000,0.230780,-1.00000,0.179831
"2016-05-18",-1.00000,0.232425,-1.00000,0.182385
"2016-05-19",-1.00000,0.116080,-1.00000,0.0708477
"2016-05-20",-1.00000,0.216131,-1.00000,0.157013
"2016-05-21",-1.00000,0.159361,-1.00000,0.0842778
"2016-05-22",-1.00000,0.164611,-1.00000,0.118567
"2016-05-23",-1.00000,0.160842,-1.00000,0.144467
"2016-05-24",-1.00000,0.121515,-1.00000,0.0725589
"2016-05-25",-1.00000,0.184384,-1.00000,0.0912915
"2016-05-26",-1.00000,0.188943,-1.00000,0.0892914
"2016-05-27",-1.00000,0.456446,-1.00000,0.0164065
"2016-05-28",-1.00000,0.0876660,-1.00000,0.0502162
"2016-05-29",-1.00000,0.0776840,-1.00000,0.0328309
"2016-05-30",-1.00000,0.0755638,-1.00000,0.0318925
"2016-05-31",-1.00000,0.137236,-1.00000,0.0559648
"2016-06-01",-1.00000,0.185381,-1.00000,0.151339
"2016-06-02",-1.00000,0.141160,-1.00000,0.0647071
"2016-06-03",-1.00000,0.103273,-1.00000,0.0472114
"2016-06-04",-1.00000,0.0812899,-1.00000,0.0409166
"2016-06-05",-1.00000,0.0641707,-1.00000,0.0290096
"2016-06-06",-1.00000,0.0315438,-1.00000,0.0126782
"2016-06-07",-1.00000,0.0327478,-1.00000,0.0190673
"2016-06-08",-1.00000,0.0645231,-1.00000,0.0165864
"2016-06-09",-1.00000,0.0941346,-1.00000,0.0674617
"2016-06-10",-1.00000,0.120429,-1.00000,0.121436
"2016-06-11",-1.00000,0.133312,-1.00000,0.165574
"2016-06-12",-1.00000,0.166854,-1.00000,0.182441
"2016-06-13",-1.00000,0.140868,-1.00000,0.151547
"2016-06-14",-1.00000,0.249645,-1.00000,0.226036
"2016-06-15",-1.00000,0.183864,-1.00000,0.144064
"2016-06-16",-1.00000,0.153273,-1.00000,0.111105
"2016-06-17",-1.00000,0.175668,-1.00000,0.0112071
"2016-06-18",-1.00000,0.214946,-1.00000,0.145840
"2016-06-19",-1.00000,0.192383,-1.00000,0.148880
"2016-06-20",-1.00000,0.259314,-1.00000,0.184276
"2016-06-21",-1.00000,0.265752,-1.00000,0.156021
"2016-06-22",-1.00000,0.275176,-1.00000,0.0200356
"2016-06-23",-1.00000,0.135179,-1.00000,0.0536143
"2016-06-24",-1.00000,0.128963,-1.00000,0.0567949
"2016-06-25",-1.00000,0.0750913,-1.00000,0.0323112
"2016-06-26",-1.00000,0.0528953,-1.00000,0.0219548
"2016-06-27",-1.00000,0.0361604,-1.00000,0.0156350
"2016-06-28",-1.00000,0.0623643,-1.00000,0.00374975
"2016-06-29",-1.00000,0.0623643,-1.00000,0.00374975
"2016-06-30",-1.00000,0.0326768,-1.00000,0.0181930
"2016-07-01",-1.00000,0.226857,-1.00000,0.0177774
"2016-07-02",-1.00000,0.226857,-1.00000,0.0177774
"2016-07-03",-1.00000,0.226857,-1.00000,0.0177774
"2016-07-04",-1.00000,0.226857,-1.00000,0.0177774
"2016-07-05",-1.00000,0.120714,-1.00000,0.00892857
"2016-07-06",-1.00000,0.0828182,-1.00000,0.0312453
"2016-07-07",-1.00000,0.0803848,-1.00000,0.0313597
"2016-07-08",-1.00000,0.159831,-1.00000,0.0625037
"2016-07-09",-1.00000,0.230492,-1.00000,0.0956987
"2016-07-10",-1.00000,0.258026,-1.00000,0.103949
"2016-07-11",-1.00000,0.311936,-1.00000,0.129291
"2016-07-12",-1.00000,0.386786,-1.00000,0.175176
"2016-07-13",-1.00000,0.358883,-1.00000,0.166503
"2016-07-14",-1.00000,0.381160,-1.00000,0.197513
"2016-07-15",-1.00000,0.401881,-1.00000,0.197520
"2016-07-16",-1.00000,0.666216,-1.00000,0.481438
"2016-07-17",-1.00000,0.853980,-1.00000,0.0857291
"2016-07-18",-1.00000,0.644755,-1.00000,0.0407392
"2016-07-19",-1.00000,0.640407,-1.00000,0.427973
"2016-07-20",-1.00000,0.690612,-1.00000,0.599514
"2016-07-21",-1.00000,0.673384,-1.00000,0.560445
"2016-07-22",-1.00000,0.689549,-1.00000,0.463381
"2016-07-23",-1.00000,0.478024,-1.00000,0.246250
"2016-07-24",-1.00000,0.150824,-1.00000,0.0629601
