VALID_DATE,C-only(0-24hr),C1+(0-24hr),M-only(0-24hr),M1+(0-24hr)
"2016-01-01",0.480000,0.652882,0.250000,0.329321
"2016-01-02",0.810000,0.810000,0.190000,0.224284
"2016-01-03",0.906816,1.00000,0.404024,0.486253
"2016-01-04",0.874372,1.00000,0.395650,0.487595
"2016-01-05",0.967190,1.00000,0.410467,0.491507
"2016-01-06",0.846000,0.878029,0.260500,0.307752
"2016-01-07",0.802600,0.831093,0.251800,0.290072
"2016-01-08",0.918668,1.00000,0.522815,0.657035
"2016-01-09",0.951117,1.00000,0.499020,0.608321
"2016-01-10",0.905684,1.00000,0.507174,0.615797
"2016-01-11",0.974528,1.00000,0.441528,0.537971
"2016-01-12",0.925296,1.00000,0.481760,0.593561
"2016-01-13",0.905500,0.958925,0.294500,0.348540
"2016-01-14",0.785400,0.910958,0.320000,0.381531
"2016-01-15",0.952150,1.00000,0.462658,0.567301
"2016-01-16",0.981184,1.00000,0.494560,0.614327
"2016-01-17",0.590000,0.590000,0.140000,0.158420
"2016-01-18",0.630000,0.630000,0.150000,0.177593
"2016-01-19",0.816000,0.849826,0.251800,0.299772
"2016-01-20",-1.00000,-1.00000,-1.00000,-1.00000
"2016-01-21",0.902784,1.00000,0.475756,0.588147
"2016-01-22",0.876880,1.00000,0.476862,0.607210
"2016-01-23",0.919192,1.00000,0.429820,0.537179
"2016-01-24",0.898426,1.00000,0.417880,0.526611
"2016-01-25",0.757000,0.920678,0.330100,0.410395
"2016-01-26",0.871588,1.00000,0.470240,0.592304
"2016-01-27",0.922668,1.00000,0.535641,0.694957
"2016-01-28",0.978607,1.00000,0.601830,0.780223
"2016-01-29",0.793090,1.00000,0.433096,0.540556
"2016-01-30",0.703600,0.834828,0.296900,0.360542
"2016-01-31",0.430000,0.542487,0.210000,0.252630
"2016-02-01",0.860000,1.00000,0.360400,0.437789
"2016-02-02",0.967114,1.00000,0.482329,0.603393
"2016-02-03",0.948577,1.00000,0.611920,0.797778
"2016-02-04",0.953317,1.00000,0.556300,0.714109
"2016-02-05",0.944719,1.00000,0.538552,0.671290
"2016-02-06",0.981922,1.00000,0.675809,0.870007
"2016-02-07",0.974806,1.00000,0.634774,0.842514
"2016-02-08",0.956908,1.00000,0.606006,0.767182
"2016-02-09",0.956152,1.00000,0.611123,0.780266
"2016-02-10",0.989347,1.00000,0.632339,0.823314
"2016-02-11",0.975360,1.00000,0.516910,0.634207
"2016-02-12",0.918688,1.00000,0.622064,0.944193
"2016-02-13",0.706000,0.865429,0.318124,0.389524
"2016-02-14",0.641200,0.809372,0.293200,0.377148
"2016-02-15",0.625600,0.817187,0.302500,0.395478
"2016-02-16",0.899950,1.00000,0.601440,0.902746
"2016-02-17",0.657800,0.769253,0.280000,0.325840
"2016-02-18",0.891086,0.966400,0.313660,0.365731
"2016-02-19",0.867250,0.926395,0.297820,0.341794
"2016-02-20",0.895348,0.977855,0.312760,0.374314
"2016-02-21",0.885655,1.00000,0.403768,0.495426
"2016-02-22",0.849304,1.00000,0.383410,0.476752
"2016-02-23",0.802400,1.00000,0.362500,0.468515
"2016-02-24",0.610000,0.610000,0.140000,0.168420
"2016-02-25",0.838800,1.00000,0.370000,0.475395
"2016-02-26",0.620000,0.620000,0.150000,0.177593
"2016-02-27",0.733200,1.00000,0.440000,0.586605
"2016-02-28",0.430000,0.523314,0.200000,0.233457
"2016-02-29",0.737600,0.737600,0.193600,0.227186
"2016-03-01",0.807544,0.842327,0.250048,0.297973
"2016-03-02",0.682914,0.814425,0.300640,0.354082
"2016-03-03",0.953864,1.00000,0.529865,0.663405
"2016-03-04",0.959063,1.00000,0.539976,0.672680
"2016-03-05",0.952463,1.00000,0.477325,0.579478
"2016-03-06",0.982590,1.00000,0.472655,0.566425
"2016-03-07",0.992923,1.00000,0.536961,0.660276
"2016-03-08",0.981184,1.00000,0.503209,0.611795
"2016-03-09",0.942724,1.00000,0.378650,0.453378
"2016-03-10",0.945166,1.00000,0.385875,0.469221
"2016-03-11",0.866620,1.00000,0.388303,0.471738
"2016-03-12",0.843592,1.00000,0.381272,0.465289
"2016-03-13",0.901082,1.00000,0.425417,0.514627
"2016-03-14",0.891700,1.00000,0.360100,0.437314
"2016-03-15",0.974480,1.00000,0.468640,0.572501
"2016-03-16",0.868000,0.918144,0.277600,0.333038
"2016-03-17",0.900364,1.00000,0.328075,0.397770
"2016-03-18",0.926563,1.00000,0.538453,0.697034
"2016-03-19",0.913600,1.00000,0.392000,0.485575
"2016-03-20",0.767800,1.00000,0.468700,0.657131
"2016-03-21",0.430000,0.542487,0.210000,0.252630
"2016-03-22",0.430000,0.542487,0.210000,0.252630
"2016-03-23",0.440000,0.568400,0.220000,0.271802
"2016-03-24",0.430000,0.430000,0.100000,0.121728
"2016-03-25",0.430000,0.523314,0.200000,0.233457
"2016-03-26",0.697900,0.981591,0.399600,0.511147
"2016-03-27",0.798600,1.00000,0.513600,0.752217
"2016-03-28",0.460000,0.601055,0.230000,0.290975
"2016-03-29",0.460000,0.601055,0.230000,0.290975
"2016-03-30",0.460000,0.601055,0.230000,0.290975
"2016-03-31",0.450000,0.575141,0.220000,0.271802
"2016-04-01",-1.00000,-1.00000,-1.00000,-1.00000
"2016-04-02",0.450000,0.575141,0.220000,0.271802
"2016-04-03",0.440000,0.568400,0.220000,0.271802
"2016-04-04",0.765952,0.969651,0.356812,0.453334
"2016-04-05",0.510000,0.510000,0.120000,0.140074
"2016-04-06",0.680000,0.680000,0.160000,0.186765
"2016-04-07",0.710000,0.710000,0.170000,0.195938
"2016-04-08",0.610000,0.610000,0.140000,0.168420
"2016-04-09",0.750000,1.00000,0.460000,0.731951
"2016-04-10",0.600000,0.906328,0.340000,0.501877
"2016-04-11",0.500000,0.685537,0.260000,0.348494
"2016-04-12",0.630800,0.820692,0.302500,0.395478
"2016-04-13",0.641200,0.827702,0.302500,0.395478
"2016-04-14",0.841798,1.00000,0.417088,0.555566
"2016-04-15",0.817358,1.00000,0.412120,0.551009
"2016-04-16",0.615200,0.793496,0.295000,0.378799
"2016-04-17",0.916800,1.00000,0.400000,0.511914
"2016-04-18",0.879600,1.00000,0.435600,0.602769
"2016-04-19",0.620000,0.620000,0.150000,0.177593
"2016-04-20",0.560000,0.560000,0.130000,0.149247
"2016-04-21",0.550000,0.550000,0.130000,0.149247
"2016-04-22",0.851600,0.882538,0.261300,0.308486
"2016-04-23",0.827200,0.833650,0.236400,0.276046
"2016-04-24",0.730000,0.730000,0.170000,0.195938
"2016-04-25",0.911604,1.00000,0.329028,0.389428
"2016-04-26",0.933880,1.00000,0.435600,0.524049
"2016-04-27",0.963204,1.00000,0.498127,0.607856
"2016-04-28",0.966050,1.00000,0.581203,0.726776
"2016-04-29",0.932175,1.00000,0.452253,0.557488
"2016-04-30",0.986224,1.00000,0.561488,0.700556
"2016-05-01",0.998789,1.00000,0.804758,1.00000
"2016-05-02",0.884290,1.00000,0.482771,0.593952
"2016-05-03",0.991216,1.00000,0.571312,0.709125
"2016-05-04",0.940054,1.00000,0.521536,0.637989
"2016-05-05",0.922252,1.00000,0.429541,0.518683
"2016-05-06",0.931250,1.00000,0.437152,0.534976
"2016-05-07",0.795376,1.00000,0.432160,0.530583
"2016-05-08",0.908608,1.00000,0.411568,0.511695
"2016-05-09",0.882190,1.00000,0.411412,0.511846
"2016-05-10",0.970378,1.00000,0.565072,0.712579
"2016-05-11",0.931415,1.00000,0.533811,0.667310
"2016-05-12",0.988595,1.00000,0.544093,0.684943
"2016-05-13",0.967514,1.00000,0.516064,0.650942
"2016-05-14",0.982784,1.00000,0.538552,0.671290
"2016-05-15",0.946060,1.00000,0.614880,0.898260
"2016-05-16",0.737800,1.00000,0.432000,0.579267
"2016-05-17",0.721600,1.00000,0.424000,0.562428
"2016-05-18",0.725600,1.00000,0.430600,0.567782
"2016-05-19",0.731200,1.00000,0.431200,0.577733
"2016-05-20",0.627400,0.790269,0.293200,0.367348
"2016-05-21",0.661900,0.878317,0.321100,0.432140
"2016-05-22",0.550000,0.795932,0.300000,0.425185
"2016-05-23",0.550000,0.795932,0.300000,0.425185
"2016-05-24",0.540000,0.789191,0.300000,0.425185
"2016-05-25",0.847000,1.00000,0.489600,0.731302
"2016-05-26",0.680000,0.680000,0.160000,0.186765
"2016-05-27",0.440000,0.558400,0.220000,0.261802
"2016-05-28",0.440000,0.549227,0.210000,0.252630
"2016-05-29",0.731600,1.00000,0.372100,0.518121
"2016-05-30",0.440000,0.440000,0.100000,0.121728
"2016-05-31",0.875260,0.956950,0.304732,0.366950
"2016-06-01",0.830881,1.00000,0.368158,0.444141
"2016-06-02",0.760000,0.760000,0.180000,0.215111
"2016-06-03",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-04",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-05",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-06",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-07",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-08",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-09",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-10",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-11",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-12",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-13",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-14",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-15",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-16",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-17",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-18",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-19",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-20",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-21",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-22",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-23",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-24",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-25",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-26",-1.00000,-1.00000,-1.00000,-1.00000
"2016-06-27",-1.00000,-1.00000,-1.00000,-1.00000
